individual_toda,individual_slug,service_area,fleet_size,TotalWaiting,AverageSpeedperTrip,AverageDistanceTravelledperTripwithLoad,stats_source
ASTODA,astoda,"ASTODA, BM TODA, SP TODA",235,756.512,14.507994446,5.1892000000000005,measured
BM TODA,bmtoda,"ASTODA, BM TODA, SP TODA",235,756.512,14.507994446,5.1892000000000005,measured
SP TODA,sptoda,"ASTODA, BM TODA, SP TODA",234,756.512,14.507994446,5.1892000000000005,measured
BANCAO BANCAO TODA,bancao_bancao_toda,BANCAO BANCAO TODA,377,350.09000000000003,13.373493055,7.224666666166667,measured
ISTODA,istoda,ISTODA,160,516.1903194444444,14.668193162107638,4.3568784721041665,estimated (citywide average)
GVTV,gvtv,"ISTODA, GVTV",180,516.1903194444444,14.668193162107638,4.3568784721041665,estimated (citywide average)
ISTODA_2,istoda2,"ISTODA, GVTV",180,516.1903194444444,14.668193162107638,4.3568784721041665,estimated (citywide average)
JTODA,jtoda,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA (combined)",183,409.6272222222222,12.285443981277778,2.4783833333333334,measured
KABIPTODA,kabiptoda,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA (combined)",183,409.6272222222222,12.285443981277778,2.4783833333333334,measured
LITODA,litoda,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA (combined)",182,409.6272222222222,12.285443981277778,2.4783833333333334,measured
NNPS,nnps,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA (combined)",182,409.6272222222222,12.285443981277778,2.4783833333333334,measured
NOBTODA,nobtoda,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA (combined)",182,409.6272222222222,12.285443981277778,2.4783833333333334,measured
PASTODA,pastoda,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA (combined)",182,409.6272222222222,12.285443981277778,2.4783833333333334,measured
ROTONDA,rotonda,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA (combined)",182,409.6272222222222,12.285443981277778,2.4783833333333334,measured
SJTODA,sjtoda,SJTODA,436,364.28,15.50815625125,4.1625000000000005,measured
SL TODA,sl_toda,SL TODA,174,389.3200000000001,13.34225,3.0429166665,measured
SM CITY TODA,sm_city_toda,SM CITY TODA,858,516.1903194444444,14.668193162107638,4.3568784721041665,estimated (citywide average)
SM TODA,sm_toda,SM TODA,348,1014.4366666666666,17.286531636666666,4.258101851666667,measured
TODAT,todat,TODAT,177,372.6,17.24375,2.4916666665,measured
WESTODA,westoda,WESTODA,630,472.6566666666667,13.797925926666666,6.007592592666666,measured
