service_area,fleet_size,TotalWaiting,AverageSpeedperTrip,AverageDistanceTravelledperTripwithLoad,stats_source
"ASTODA, BM TODA, SP TODA",704,756.512,14.507994446,5.1892000000000005,measured
BANCAO BANCAO TODA,377,350.09000000000003,13.373493055,7.224666666166667,measured
ISTODA,160,516.1903194444444,14.668193162107638,4.3568784721041665,estimated (citywide average)
"ISTODA, GVTV",360,516.1903194444444,14.668193162107638,4.3568784721041665,estimated (citywide average)
"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA (combined)",1276,409.6272222222222,12.285443981277778,2.4783833333333334,measured
SJTODA,436,364.28,15.50815625125,4.1625000000000005,measured
SL TODA,174,389.3200000000001,13.34225,3.0429166665,measured
SM CITY TODA,858,516.1903194444444,14.668193162107638,4.3568784721041665,estimated (citywide average)
SM TODA,348,1014.4366666666666,17.286531636666666,4.258101851666667,measured
TODAT,177,372.6,17.24375,2.4916666665,measured
WESTODA,630,472.6566666666667,13.797925926666666,6.007592592666666,measured
