TAZ,TODA,is_missing
56.0,,True
48.0,,True
20.0,,True
55.0,,True
39.0,,True
31.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
3.0,,True
41.0,,True
30.0,,True
28.0,,True
12.0,,True
59.0,,True
10.0,,True
62.0,,True
13.0,,True
61.0,,True
63.0,,True
53.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
42.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
66.0,SM CITY TODA,False
64.0,,True
32.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
38.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
26.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
27.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
46.0,WESTODA,False
16.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
37.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
8.0,BANCAO BANCAO TODA,False
6.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
43.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
19.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
21.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
4.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
34.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
60.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
52.0,SM CITY TODA,False
45.0,SJTODA,False
65.0,SM TODA,False
58.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
36.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
5.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA",False
23.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
24.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
14.0,ISTODA,False
50.0,SL TODA,False
33.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
35.0,"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA",False
49.0,,True
18.0,,True
9.0,,True
22.0,,True
1.0,,True
2.0,,True
7.0,,True
11.0,,True
15.0,,True
17.0,,True
25.0,,True
29.0,,True
40.0,,True
44.0,,True
47.0,"ASTODA, BM TODA, SP TODA",False
54.0,"ISTODA, GVTV",False
51.0,,True
57.0,TODAT,False
39.0,,True
