service_area,fleet_size,TotalBoardingsperdevice,TripCountperdevice,TripCountwithLoadperdevice,AverageDistanceTravelledperTripwithLoad,AverageSpeedperTrip,TotalWaiting,stats_source
"ASTODA, BM TODA, SP TODA",704,88.433333334,45.066666666,37.233333334,5.1892000000000005,14.507994446,756.512,measured
BANCAO BANCAO TODA,377,32.208333333333336,31.166666666666668,20.875,7.224666666166667,13.058076388333332,350.09000000000003,measured
ISTODA,160,46.319907407479164,27.6974400873462,20.98680555598611,4.3568784721041665,14.628766078774305,516.1903194444444,estimated (citywide average)
"ISTODA, GVTV",360,46.319907407479164,27.6974400873462,20.98680555598611,4.3568784721041665,14.628766078774305,516.1903194444444,estimated (citywide average)
"JTODA, KABIPTODA, NNPS, NOBTODA, PASTODA, ROTONDA, LITODA (combined)",1276,31.825000000000003,18.11470588235294,13.420370370555554,2.4783833333333334,12.285443981277778,409.6272222222222,measured
SJTODA,436,23.7083333325,16.45833333375,12.125,4.1625000000000005,15.50815625125,364.28,measured
SL TODA,174,48.0,28.25,23.0,3.0429166665,13.34225,389.32,measured
SM CITY TODA,858,46.319907407479164,27.6974400873462,20.98680555598611,4.3568784721041665,14.628766078774305,516.1903194444444,estimated (citywide average)
SM TODA,348,38.74537037,23.550925926666668,18.462962963333336,4.258101851666667,17.286531636666666,1014.4366666666666,measured
TODAT,177,39.75,29.75,19.0,2.4916666665,17.24375,372.6,measured
WESTODA,630,67.88888888999999,29.222222223333333,23.77777778,6.007592592666666,13.797925926666666,472.6566666666667,measured
